,0,1,2,3,4,5,6,7,8,9,10,11
138,1612310400000,5.2558,5.7875,5.0641,5.7427,126073.35000000,1612396799999,677319.7660,2053,53197.42000000,285285.0424,0
139,1612396800000,5.7510,6.5709,5.6148,6.4401,225371.08000000,1612483199999,1337728.5746,3238,95623.30000000,568887.9578,0
140,1612483200000,6.4400,7.1392,6.4400,6.6901,253692.91000000,1612569599999,1719798.6554,4018,113800.50000000,772266.8972,0
141,1612569600000,6.6901,6.8079,5.7600,6.1380,259211.54000000,1612655999999,1601413.0309,4369,119585.47000000,742192.0556,0
142,1612656000000,6.1112,6.9833,5.7539,6.6874,179584.29000000,1612742399999,1162524.1568,3388,92158.70000000,603986.2068,0
143,1612742400000,6.6956,8.3999,6.5051,7.8704,175574.56000000,1612828799999,1330958.4067,5698,83987.07000000,641634.9615,0
144,1612828800000,7.9004,9.0157,7.6101,7.8790,219467.50000000,1612915199999,1763163.6058,6213,103926.13000000,842472.9004,0
145,1612915200000,7.8287,9.0968,7.5900,9.0707,252285.83000000,1613001599999,2110205.9463,6852,114815.77000000,964124.7820,0
146,1613001600000,9.0861,9.9300,8.8084,9.2464,193297.84000000,1613087999999,1784975.7905,7241,101877.83000000,943857.8656,0
147,1613088000000,9.2744,9.9262,9.1257,9.2062,107047.49000000,1613174399999,1014467.9398,3877,47921.77000000,455707.2531,0
148,1613174400000,9.2478,9.5387,8.6800,8.7743,112970.27000000,1613260799999,1029929.5922,3143,53644.70000000,492890.9593,0
149,1613260800000,8.7938,9.3242,8.5507,8.7300,153073.49000000,1613347199999,1359883.0418,3333,66619.89000000,592507.6099,0
150,1613347200000,8.7353,9.3020,7.7000,8.8592,196779.09000000,1613433599999,1673156.5169,4121,84930.20000000,714007.1849,0
151,1613433600000,8.8426,9.0043,7.9610,8.2766,108279.57000000,1613519999999,923146.8800,2189,55993.46000000,478706.6889,0
152,1613520000000,8.3238,8.4340,7.5000,8.2050,154796.63000000,1613606399999,1255660.4789,2738,44676.95000000,363237.5349,0
153,1613606400000,8.2477,9.2898,8.2405,8.9953,92717.58000000,1613692799999,821549.5724,2543,33843.86000000,299274.5163,0
154,1613692800000,9.0051,11.8000,8.5387,11.5369,306596.69000000,1613779199999,3253886.8265,8064,157293.61000000,1677474.9321,0
155,1613779200000,11.5369,12.6638,9.8300,10.0277,219579.99000000,1613865599999,2397298.7224,5190,87191.87000000,960747.1645,0
156,1613865600000,10.0277,11.8881,9.8579,11.1150,191055.02000000,1613951999999,2103791.7998,4575,83904.84000000,928365.5911,0
157,1613952000000,11.1150,14.9700,9.1947,14.4975,886502.35000000,1614038399999,10897518.1204,15292,405772.43000000,5009393.7859,0
158,1614038400000,14.4975,16.0000,11.5979,15.2016,912499.35000000,1614124799999,13147664.6917,22875,392797.55000000,5688343.1282,0
159,1614124800000,15.2390,18.1939,14.8139,17.2369,513408.58000000,1614211199999,8507717.8256,12361,234091.59000000,3877094.2033,0
160,1614211200000,17.2369,17.7270,13.7647,13.7978,324293.60000000,1614297599999,5106207.9412,6747,121867.02000000,1925156.9611,0
161,1614297600000,13.7978,15.5212,13.0901,13.5800,339781.67000000,1614383999999,4821220.6848,5606,138371.11000000,1961298.3062,0
162,1614384000000,13.5800,14.6497,13.0000,13.1760,191690.39000000,1614470399999,2649475.6670,4287,78387.69000000,1085097.6579,0
163,1614470400000,13.1759,15.0000,11.5200,13.3998,228489.97000000,1614556799999,2880710.5169,6881,114768.83000000,1456376.2252,0
164,1614556800000,13.3998,18.5000,13.3998,14.9574,281625.54000000,1614643199999,4385805.7060,12813,133895.27000000,2106254.0508,0
165,1614643200000,14.9606,17.0000,13.5000,13.9900,179849.77000000,1614729599999,2606594.7173,6595,74395.80000000,1089034.3951,0
166,1614729600000,13.9900,14.8571,13.7767,14.1517,251237.14000000,1614815999999,3592943.2023,5156,92713.08000000,1323603.0500,0
167,1614816000000,14.0801,14.2910,12.6892,13.0906,157849.62000000,1614902399999,2097453.6583,3815,66957.80000000,881282.0767,0
168,1614902400000,13.0901,13.0901,12.1495,12.5718,151456.40000000,1614988799999,1908109.5656,2966,76108.84000000,958255.4197,0
169,1614988800000,12.6037,13.3252,11.9000,13.0757,118578.34000000,1615075199999,1492939.1550,2910,45917.30000000,579896.2119,0
170,1615075200000,13.0880,14.0307,12.7070,13.8257,118553.90000000,1615161599999,1588558.9431,3376,56855.85000000,760572.3818,0
171,1615161600000,13.8500,13.9026,13.0527,13.6340,111037.25000000,1615247999999,1505188.0044,2747,38653.53000000,524576.5621,0
